Dummy_application_id,ever60_24m_StrictFlag,NATURE_OF_ORGANISATION,OCCUPATION_TYPE,Max_dependent,LTV,Doc_form_16,income_max,income_sum,income_min,edu_max,edu_min,age_max,age_min,cnt_coapplicant,REQUESTED_TENURE,PROPERTY_INSURANCE_AMT,Organization_type,SALARIED_SELF,CHANNEL_CODE,City_tier,FOIR2,Loan_sub_type_1,SAL_FLAG,emi_income_max,emi_income_sum
4667539,0,Private Ltd. Co.,SALARIED,0,0.715563384,0,11396,11396,0,3,2,46,24,1,240.0000,4553.0000,3.Private Ltd Co,SALARIED,DSA,1,,Builder Ready,SAL,0.456037206,0.456037206
4670001,0,Proprietor-Proprietorship Firm (Staff Less than 25),SELF-EMPLOYED,2,0.544463415,0,26472.0833,26472.0833,0,3,3,47,44,1,180.0000,10307.0000,3.Private Ltd Co,SELF_EMP,DSA,3,47.26110846,Self Construction,NONSAL,0.472611085,0.472611085
4670389,0,Proprietor-Proprietorship Firm (Staff Less than 25),SERVICES,6,0.566011892,0,23487.5,23487.5,0,3,3,35,35,1,240.0000,7460.0000,3.Private Ltd Co,SELF_EMP,CROSS SALES,3,48.66844066,Self Construction,NONSAL,0.486684407,0.486684407
4670395,0,Others,SALARIED,0,0.536454807,0,42270,42270,0,3,3,39,34,1,240.0000,6744.0000,1.Others,SALARIED,DSA,1,44.75987698,Builder UNC,SAL,0.44759877,0.44759877
4670451,0,Private Ltd. Co.,SERV-PRIVATE SECTOR,1,0.511948925,0,17506,17506,0,3,3,32,28,1,324.0000,0.0000,3.Private Ltd Co,SALARIED,UBL Sales,1,61.91591454,Builder Ready,SAL,0.619159145,0.619159145
4670689,0,Private Ltd. Co.,SALESMAN,0,0.444153595,0,29800,29800,0,3,2,56,31,1,240.0000,0.0000,3.Private Ltd Co,SALARIED,DSA,1,27.78187919,Builder Ready,SAL,0.277818792,0.277818792
4670885,0,MNC,SALARIED,0,0.305666667,0,18946,18946,0,4,3,61,26,1,240.0000,0.0000,5.MNC,SALARIED,CROSS SALES,2,37.23741159,Builder Ready,SAL,0.372374116,0.372374116
4670957,0,Others,SALARIED,1,0.460384681,0,10260,10260,0,3,3,25,25,1,360.0000,0.0000,1.Others,SALARIED,CROSS SALES,2,59.72709552,Builder UNC,SAL,0.597270955,0.597270955
4672293,0,Private Ltd. Co.,SALARIED,2,0.09699321,0,49766,49766,0,3,2,57,28,1,288.0000,0.0000,3.Private Ltd Co,SALARIED,ALTERNATE CHANNELS,2,22.31041273,Self Construction,SAL,0.058493751,0.058493751
4672465,0,Public Ltd. Co.,SAL(RETIRAL AGE 58),1,0.594123476,0,18505,25293,6788,4,3,36,31,1,240.0000,0.0000,4.Public Ltd. Co.,SALARIED,DSA,2,53.18862927,Builder UNC,SAL,0.726992705,0.531886293
4672583,0,Private Ltd. Co.,SALARIED,0,0.391001892,0,39470.1667,39470.1667,0,4,3,41,40,1,180.0000,8909.0000,3.Private Ltd Co,SALARIED,UBL Sales,1,,Builder UNC,SAL,0.489280933,0.489280933
4672617,0,Government,SALARIED,0,0.378364655,0,33317,33317,0,1,1,55,50,1,96.0000,2935.0000,2.Govt,SALARIED,CROSS SALES,2,48.9389801,Resale Ready,SAL,0.489389801,0.489389801
4672695,0,Public Ltd. Co.,SAL(RETIRAL AGE 58),0,0.691141195,0,30880,58013,27133,3,3,28,28,1,240.0000,10339.0000,4.Public Ltd. Co.,SALARIED,DSA,3,48.45465671,Builder Ready,SAL,0.609261658,0.324306621
4673193,0,Government,SALARIED,0,0.466666667,0,15100,15100,0,1,1,48,42,1,132.0000,4000.0000,2.Govt,SALARIED,CROSS SALES,2,60.02649007,Others+P_Cons,SAL,0.600264901,0.600264901
